age,education,native-country,salary
39,Bachelors,United-States,<=50K
50,Bachelors,United-States,<=50K
38,HS-grad,United-States,<=50K
53,11th,United-States,<=50K
28,Bachelors,Cuba,<=50K
37,Masters,United-States,<=50K
49,9th,Jamaica,<=50K
52,HS-grad,United-States,>50K
31,Masters,United-States,>50K
42,Bachelors,United-States,>50K
37,Some-college,United-States,>50K
30,Bachelors,India,>50K
23,Bachelors,United-States,<=50K
32,Assoc-acdm,United-States,<=50K
40,Assoc-voc,?,>50K
34,7th-8th,Mexico,<=50K
25,HS-grad,United-States,<=50K
32,HS-grad,United-States,<=50K
38,11th,United-States,<=50K
43,Masters,United-States,>50K
40,Doctorate,United-States,>50K
54,HS-grad,United-States,<=50K
35,9th,United-States,<=50K
43,11th,United-States,<=50K
59,HS-grad,United-States,<=50K
56,Bachelors,United-States,>50K
19,HS-grad,United-States,<=50K
54,Some-college,South,>50K
39,HS-grad,United-States,<=50K
49,HS-grad,United-States,<=50K
23,Assoc-acdm,United-States,<=50K
20,Some-college,United-States,<=50K
45,Bachelors,United-States,<=50K
30,Some-college,United-States,<=50K
22,Some-college,United-States,<=50K
48,11th,Puerto-Rico,<=50K
21,Some-college,United-States,<=50K
19,HS-grad,United-States,<=50K
31,Some-college,?,>50K
48,Assoc-acdm,United-States,<=50K
31,9th,United-States,<=50K
53,Bachelors,United-States,<=50K
24,Bachelors,United-States,<=50K
49,HS-grad,United-States,<=50K
25,HS-grad,United-States,<=50K
57,Bachelors,United-States,>50K
53,HS-grad,United-States,<=50K
44,Masters,United-States,<=50K
41,Assoc-voc,United-States,<=50K
29,Assoc-voc,United-States,<=50K
25,Some-college,United-States,<=50K
18,HS-grad,?,<=50K
47,Prof-school,Honduras,>50K
50,Bachelors,United-States,>50K
47,HS-grad,United-States,<=50K
43,Some-college,United-States,>50K
46,5th-6th,Mexico,<=50K
35,Assoc-voc,Puerto-Rico,<=50K
41,HS-grad,United-States,<=50K
30,HS-grad,United-States,<=50K
30,Bachelors,United-States,<=50K
32,7th-8th,?,<=50K
48,HS-grad,United-States,<=50K
42,Doctorate,United-States,>50K
29,Some-college,United-States,<=50K
36,HS-grad,United-States,<=50K
28,Some-college,United-States,<=50K
53,HS-grad,United-States,>50K
49,Some-college,United-States,>50K
25,Some-college,United-States,<=50K
19,Some-college,United-States,<=50K
31,Bachelors,United-States,<=50K
29,Bachelors,United-States,>50K
23,Some-college,United-States,<=50K
79,Some-college,United-States,<=50K
27,HS-grad,Mexico,<=50K
40,Assoc-acdm,United-States,<=50K
67,10th,United-States,<=50K
18,11th,United-States,<=50K
31,7th-8th,United-States,<=50K
18,HS-grad,United-States,<=50K
52,Bachelors,Cuba,<=50K
46,HS-grad,United-States,<=50K
59,HS-grad,United-States,<=50K
44,HS-grad,United-States,>50K
53,HS-grad,United-States,<=50K
49,HS-grad,United-States,>50K
33,Masters,United-States,<=50K
30,9th,United-States,<=50K
43,Doctorate,United-States,>50K
57,Assoc-voc,United-States,<=50K
37,Some-college,United-States,<=50K
28,Some-college,United-States,<=50K
30,HS-grad,?,<=50K
34,Bachelors,United-States,>50K
29,Some-college,United-States,<=50K
48,Doctorate,United-States,>50K
37,Some-college,United-States,>50K
48,Assoc-acdm,England,<=50K
32,HS-grad,United-States,<=50K
76,Masters,United-States,>50K
44,Bachelors,United-States,>50K
47,Masters,United-States,<=50K
20,Some-college,United-States,<=50K
29,HS-grad,United-States,<=50K
32,HS-grad,United-States,>50K
17,10th,United-States,<=50K
30,11th,United-States,<=50K
31,HS-grad,United-States,<=50K
42,HS-grad,United-States,<=50K
24,Bachelors,United-States,<=50K
38,Prof-school,United-States,>50K
56,HS-grad,Canada,>50K
28,Some-college,United-States,<=50K
36,HS-grad,United-States,<=50K
53,9th,United-States,<=50K
56,Some-college,United-States,<=50K
49,Assoc-voc,United-States,>50K
55,Some-college,United-States,<=50K
22,HS-grad,United-States,<=50K
21,Some-college,United-States,<=50K
40,Bachelors,United-States,<=50K
30,Bachelors,Germany,<=50K
29,Bachelors,United-States,>50K
19,Some-college,United-States,<=50K
47,Bachelors,United-States,>50K
20,Some-college,United-States,<=50K
31,Assoc-acdm,United-States,>50K
35,HS-grad,United-States,<=50K
39,Some-college,United-States,<=50K
28,Assoc-acdm,United-States,<=50K
24,HS-grad,United-States,<=50K
38,HS-grad,United-States,<=50K
37,Bachelors,United-States,<=50K
46,Assoc-acdm,United-States,<=50K
38,Masters,Iran,>50K
43,HS-grad,United-States,<=50K
27,Assoc-voc,United-States,<=50K
20,Some-college,United-States,<=50K
49,Some-college,United-States,>50K
61,HS-grad,United-States,<=50K
27,Some-college,United-States,<=50K
19,Some-college,Mexico,<=50K
45,Assoc-voc,United-States,>50K
70,Some-college,United-States,<=50K
31,HS-grad,United-States,<=50K
22,Some-college,United-States,<=50K
36,HS-grad,United-States,<=50K
64,11th,United-States,<=50K
43,Some-college,United-States,<=50K
47,Some-college,Mexico,<=50K
34,HS-grad,United-States,<=50K
33,Bachelors,Philippines,<=50K
21,HS-grad,United-States,<=50K
52,HS-grad,United-States,>50K
48,HS-grad,United-States,<=50K
23,Bachelors,United-States,<=50K
71,Some-college,United-States,<=50K
29,HS-grad,United-States,<=50K
42,Bachelors,United-States,<=50K
68,1st-4th,United-States,<=50K
25,HS-grad,United-States,<=50K
44,Masters,United-States,<=50K
28,HS-grad,England,<=50K
45,Masters,United-States,>50K
36,Some-college,Mexico,<=50K
39,Assoc-acdm,United-States,<=50K
46,Masters,United-States,<=50K
18,11th,United-States,<=50K
66,Assoc-voc,United-States,<=50K
27,HS-grad,United-States,<=50K
28,HS-grad,United-States,<=50K
51,Some-college,United-States,>50K
27,Bachelors,United-States,<=50K
28,Bachelors,United-States,>50K
27,HS-grad,United-States,<=50K
21,HS-grad,United-States,<=50K
34,HS-grad,United-States,<=50K
18,HS-grad,United-States,<=50K
33,Bachelors,United-States,<=50K
44,Some-college,United-States,>50K
43,Some-college,United-States,<=50K
30,Some-college,United-States,<=50K
40,7th-8th,Mexico,>50K
37,Some-college,United-States,>50K
34,HS-grad,United-States,<=50K
41,Bachelors,United-States,<=50K
53,Bachelors,United-States,<=50K
31,Masters,United-States,<=50K
58,Doctorate,United-States,>50K
38,Some-college,United-States,<=50K
24,Some-college,United-States,<=50K
41,Bachelors,United-States,<=50K
47,Some-college,United-States,<=50K
41,Bachelors,United-States,<=50K
23,5th-6th,Mexico,<=50K
36,Some-college,United-States,<=50K
40,Masters,United-States,>50K
35,Masters,United-States,>50K
24,HS-grad,United-States,<=50K
26,Masters,United-States,<=50K
19,HS-grad,Italy,<=50K
51,Bachelors,United-States,>50K
42,Some-college,United-States,<=50K
37,HS-grad,United-States,<=50K
18,11th,United-States,<=50K
36,Bachelors,United-States,>50K
35,HS-grad,United-States,<=50K
58,HS-grad,United-States,>50K
17,11th,United-States,<=50K
44,HS-grad,United-States,<=50K
37,HS-grad,United-States,>50K
35,Some-college,United-States,<=50K
60,HS-grad,United-States,<=50K
54,7th-8th,United-States,>50K
37,Bachelors,United-States,>50K
50,Assoc-acdm,United-States,<=50K
38,Bachelors,Poland,<=50K
45,Bachelors,United-States,<=50K
25,10th,United-States,<=50K
31,Some-college,United-States,<=50K
64,1st-4th,United-States,<=50K
90,HS-grad,United-States,<=50K
54,HS-grad,United-States,<=50K
53,Preschool,United-States,<=50K
18,HS-grad,United-States,<=50K
60,10th,United-States,<=50K
66,HS-grad,United-States,<=50K
75,Assoc-voc,Columbia,<=50K
65,HS-grad,United-States,<=50K
35,11th,United-States,<=50K
41,HS-grad,United-States,<=50K
25,Some-college,United-States,<=50K
33,Some-college,United-States,<=50K
28,Prof-school,United-States,>50K
59,HS-grad,United-States,<=50K
40,Some-college,United-States,<=50K
41,Bachelors,Iran,>50K
38,Masters,United-States,>50K
23,HS-grad,United-States,<=50K
40,Bachelors,United-States,>50K
41,HS-grad,United-States,<=50K
24,Assoc-acdm,United-States,<=50K
20,Some-college,United-States,<=50K
38,Some-college,United-States,<=50K
56,HS-grad,?,<=50K
58,HS-grad,United-States,>50K
32,HS-grad,United-States,<=50K
40,Assoc-acdm,United-States,>50K
45,HS-grad,?,<=50K
41,Prof-school,United-States,>50K
42,Bachelors,United-States,<=50K
59,10th,United-States,<=50K
19,Some-college,United-States,<=50K
58,Some-college,United-States,<=50K
42,HS-grad,Cambodia,>50K
20,HS-grad,United-States,<=50K
32,HS-grad,United-States,<=50K
45,Assoc-voc,United-States,<=50K
50,7th-8th,United-States,<=50K
36,Bachelors,United-States,<=50K
45,HS-grad,United-States,<=50K
17,11th,United-States,<=50K
59,Some-college,United-States,<=50K
26,11th,United-States,<=50K
37,Some-college,Thailand,>50K
19,Some-college,Canada,<=50K
64,HS-grad,United-States,>50K
33,Bachelors,United-States,<=50K
33,HS-grad,United-States,>50K
61,HS-grad,United-States,>50K
17,9th,United-States,<=50K
50,Masters,United-States,<=50K
27,Masters,United-States,<=50K
30,HS-grad,United-States,<=50K
43,HS-grad,United-States,<=50K
44,Some-college,United-States,>50K
35,Some-college,United-States,<=50K
25,Some-college,United-States,<=50K
24,Some-college,United-States,>50K
22,Bachelors,Germany,<=50K
42,Some-college,United-States,>50K
34,Assoc-acdm,United-States,<=50K
60,Bachelors,United-States,<=50K
21,HS-grad,United-States,<=50K
57,Masters,United-States,>50K
41,Prof-school,United-States,>50K
50,Some-college,United-States,<=50K
25,Bachelors,United-States,<=50K
50,7th-8th,Ecuador,<=50K
36,Bachelors,United-States,<=50K
31,HS-grad,United-States,<=50K
29,Bachelors,United-States,<=50K
21,Some-college,United-States,<=50K
27,Bachelors,United-States,<=50K
65,HS-grad,United-States,<=50K
37,Bachelors,United-States,<=50K
39,Masters,?,<=50K
24,HS-grad,United-States,<=50K
38,HS-grad,United-States,<=50K
48,Bachelors,United-States,>50K
21,Some-college,United-States,<=50K
31,HS-grad,United-States,>50K
55,HS-grad,United-States,>50K
24,Some-college,Laos,<=50K
43,HS-grad,United-States,<=50K
26,Assoc-acdm,United-States,<=50K
46,Assoc-acdm,United-States,<=50K
35,Assoc-acdm,United-States,>50K
41,Some-college,United-States,>50K
26,Bachelors,United-States,<=50K
34,Masters,Taiwan,>50K
19,Some-college,United-States,<=50K
36,Bachelors,United-States,>50K
22,Some-college,United-States,<=50K
24,Some-college,United-States,<=50K
77,Some-college,United-States,<=50K
22,5th-6th,Mexico,<=50K
29,Some-college,United-States,<=50K
62,HS-grad,United-States,<=50K
39,HS-grad,United-States,<=50K
43,Some-college,United-States,<=50K
35,HS-grad,United-States,<=50K
29,11th,United-States,<=50K
76,Masters,United-States,<=50K
63,HS-grad,United-States,<=50K
23,Assoc-voc,United-States,<=50K
43,Some-college,United-States,>50K
58,HS-grad,United-States,<=50K
66,HS-grad,United-States,<=50K
41,Some-college,United-States,<=50K
26,Bachelors,United-States,<=50K
47,Assoc-voc,United-States,<=50K
55,10th,United-States,<=50K
53,HS-grad,United-States,<=50K
17,5th-6th,Mexico,<=50K
30,HS-grad,United-States,<=50K
49,Masters,United-States,<=50K
19,HS-grad,Haiti,<=50K
45,HS-grad,United-States,<=50K
26,Assoc-acdm,United-States,<=50K
38,Assoc-voc,United-States,>50K
36,HS-grad,United-States,>50K
33,HS-grad,United-States,<=50K
22,Some-college,United-States,<=50K
43,Bachelors,United-States,<=50K
67,11th,United-States,<=50K
30,Assoc-voc,United-States,<=50K
56,Assoc-acdm,Iran,<=50K
31,Bachelors,United-States,<=50K
33,Bachelors,United-States,>50K
26,HS-grad,United-States,<=50K
33,Bachelors,United-States,>50K
46,11th,United-States,<=50K
59,Bachelors,United-States,>50K
38,HS-grad,United-States,>50K
